NIVT_SAT	annee_ctr_f	nper_enq_f	npie_log_f	peri_ctr_f	puissto_f	qpay_ctr_f	tarif_f	niv_urb_f	annee_log_f	stat_log_f	type_log_f	emme_log_f	date_chf_f	chem_log_f	age_enq_f	ideal_chf_f	num_ind	i
2	1989a1990	1personne	2pieces	Relevenormal	6kVA	Qpay=5	Doubletarif	100Ma200Mhab	1949->73	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0027	18
1	1989a1990	5perset+	4pieces	Indestmensu	6kVA	Qpay=6	Doubletarif	20Ma50Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Gazvr	0028	18
1	1981a1985	5perset+	4pieces	Indestdeter	6kVA	Qpay=5	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Gazvr	0029	18
2	1986a1988	4personnes	5pieces	Mensualise	>=12kVA	Qpay=5	Doubletarif	5Ma10Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	18a34ans	Electric	0030	18
2	1989a1990	2personnes	3pieces	Mensualise	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	55a64ans	Electric	0031	18
2	1989a1990	1personne	2pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0032	18
1	1989a1990	3personnes	3pieces	Indestmensu	>=12kVA	Qpay=7	Doubletarif	5Ma10Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Cheminee	35a44ans	Electric	0033	18
3	1989a1990	1personne	3pieces	Relevenormal	6kVA	Qpay=7	Doubletarif	50Ma100Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Electric	0034	18
2	1989a1990	2personnes	3pieces	Mensualise	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0035	18
1	1981a1985	1personne	2pieces	Relevenormal	6kVA	Qpay=9	Doubletarif	10Ma20Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	35a44ans	Gazvr	0036	18
1	1986a1988	3personnes	4pieces	Indestmensu	>=12kVA	Qpay=5	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Gazvr	0037	18
1	1989a1990	2personnes	2pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Cheminee	45a54ans	Autre	0038	18
3	1989a1990	3personnes	4pieces	Relevenormal	6kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Electric	0039	18
1	1989a1990	1personne	3pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	agglo.rurale	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Gazvr	0040	18
2	1989a1990	5perset+	4pieces	Indestdeter	9kVA	Qpay=6	Doubletarif	2Ma5Mhab	1974->81	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0041	18
1	1989a1990	1personne	2pieces	Relevenormal	6kVA	Qpay=6	Doubletarif	agglo.rurale	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0042	18
1	1986a1988	2personnes	2pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	5Ma10Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Bois	0043	18
2	1989a1990	2personnes	4pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	55a64ans	Gazvr	0044	18
3	1986a1988	2personnes	3pieces	Mensualise	9kVA	Qpay=6	Doubletarif	100Ma200Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Electric	0045	18
1	1989a1990	4personnes	4pieces	Mensualise	9kVA	Qpay=6	Doubletarif	5Ma10Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Electric	0046	18
3	1989a1990	4personnes	5pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0047	18
2	1989a1990	2personnes	3pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0048	18
2	1989a1990	5perset+	4pieces	Indestmensu	>=12kVA	Qpay=5	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Electric	0049	18
3	1981a1985	4personnes	>=6piec	Indestdeter	>=12kVA	Qpay=3	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Electric	0050	18
2	1989a1990	2personnes	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	2Ma5Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	18a34ans	Gazvr	0051	18
3	1981a1985	5perset+	5pieces	Mensualise	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Electric	0052	18
3	1986a1988	2personnes	>=6piec	Indestmensu	9kVA	Qpay=3	Simpletarif	50Ma100Mhab	1974->81	Proprietaire	Collectif	entre1982et1988	avant1982	Pascheminee	55a64ans	Gazvr	0053	18
3	1989a1990	4personnes	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	50Ma100Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Electric	0054	18
2	1989a1990	3personnes	5pieces	Indestmensu	9kVA	Qpay=7	Doubletarif	100Ma200Mhab	>=1989	Locataire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Electric	0055	18
2	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	50Ma100Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Fioul	0056	18
3	1971a1980	4personnes	5pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	45a54ans	Electric	0057	18
2	1989a1990	1personne	2pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0058	18
2	1986a1988	3personnes	2pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1989et1990	Pascheminee	18a34ans	Fioul	0059	18
2	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Gazvr	0060	18
3	1989a1990	3personnes	2pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1949->73	Locataire	Collectif	entre1982et1988	avant1982	Pascheminee	18a34ans	Electric	0061	18
3	1986a1988	2personnes	2pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	20Ma50Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Gazvr	0062	18
3	1989a1990	3personnes	3pieces	Indestmensu	9kVA	Qpay=6	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0063	18
2	1986a1988	2personnes	2pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Autre	0064	18
3	1989a1990	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	35a44ans	Electric	0065	18
2	1989a1990	2personnes	2pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	20Ma50Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	35a44ans	Gazvr	0066	18
2	1981a1985	3personnes	3pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	20Ma50Mhab	<=1948	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Fioul	0067	18
1	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=6	Doubletarif	5Ma10Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Bois	0068	18
2	1981a1985	3personnes	5pieces	Indestdeter	>=12kVA	Qpay=5	Doubletarif	agglo.rurale	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0069	18
3	1989a1990	2personnes	4pieces	Mensualise	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Electric	0070	18
2	1986a1988	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=7	Doubletarif	5Ma10Mhab	1949->73	Locataire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	45a54ans	Electric	0071	18
3	1989a1990	1personne	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	20Ma50Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0072	18
2	1986a1988	5perset+	4pieces	Indestdeter	>=12kVA	Qpay=0,1,2	Doubletarif	agglo.rurale	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	65anset+	Electric	0073	18
2	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	100Ma200Mhab	1982->88	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0074	18
2	1986a1988	1personne	2pieces	Mensualise	6kVA	Qpay=7	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0075	18
2	1986a1988	5perset+	4pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0076	18
2	1989a1990	1personne	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	45a54ans	Gazvr	0077	18
2	1986a1988	1personne	5pieces	Indestdeter	9kVA	Qpay=9	Doubletarif	10Ma20Mhab	1949->73	Locataire	Individuel	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Electric	0078	18
2	1966a1970	4personnes	4pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	100Ma200Mhab	1949->73	Locataire	Collectif	avant1982	entre1989et1990	Cheminee	55a64ans	Electric	0079	18
3	1989a1990	2personnes	2pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	100Ma200Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Bois	0080	18
2	1989a1990	1personne	3pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0081	18
2	1971a1980	2personnes	4pieces	Mensualise	>=12kVA	Qpay=9	Doubletarif	20Ma50Mhab	<=1948	Proprietaire	Individuel	avant1982	avant1982	Pascheminee	65anset+	Electric	0082	18
2	1971a1980	5perset+	5pieces	Indestdeter	9kVA	Qpay=7	Doubletarif	20Ma50Mhab	<=1948	Proprietaire	Individuel	avant1982	avant1982	Cheminee	35a44ans	Electric	0083	18
2	1989a1990	1personne	2pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	5Ma10Mhab	<=1948	Locataire	Individuel	entre1989et1990	entre1989et1990	Cheminee	18a34ans	Gazvr	0084	18
2	1981a1985	4personnes	>=6piec	Mensualise	>=12kVA	Qpay=7	Doubletarif	50Ma100Mhab	1974->81	Proprietaire	Individuel	entre1982et1988	avant1982	Pascheminee	35a44ans	Electric	0085	18
3	1989a1990	2personnes	4pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	20Ma50Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Electric	0086	18
3	1971a1980	1personne	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	10Ma20Mhab	<=1948	Locataire	Individuel	avant1982	avant1982	Cheminee	55a64ans	Gazvr	0087	18
2	1989a1990	2personnes	4pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Cheminee	65anset+	Gazvr	0088	18
3	1989a1990	3personnes	5pieces	Indestdeter	>=12kVA	Qpay=4	Doubletarif	50Ma100Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0089	18
2	1989a1990	1personne	2pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	50Ma100Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0090	18
2	1989a1990	3personnes	4pieces	Indestdeter	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Locataire	Individuel	entre1989et1990	entre1982et1988	Cheminee	18a34ans	Electric	0091	18
2	1981a1985	5perset+	>=6piec	Mensualise	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0092	18
3	1989a1990	1personne	1piece	Indestmensu	9kVA	Qpay=8	Doubletarif	50Ma100Mhab	1974->81	Locataire	Collectif	entre1989et1990	avant1982	Pascheminee	45a54ans	Gazvr	0093	18
1	1989a1990	4personnes	>=6piec	Indestmensu	>=12kVA	Qpay=9	Doubletarif	2Ma5Mhab	1974->81	Locataire	Individuel	entre1989et1990	avant1982	Cheminee	45a54ans	Gazvr	0094	18
2	1989a1990	2personnes	2pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	20Ma50Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Autre	0095	18
2	1986a1988	5perset+	4pieces	Indestmensu	6kVA	Qpay=9	Doubletarif	agglo.rurale	1974->81	Locataire	Individuel	entre1982et1988	avant1982	Pascheminee	18a34ans	Bois	0096	18
1	1989a1990	3personnes	3pieces	Relevenormal	9kVA	Qpay=8	Doubletarif	50Ma100Mhab	1974->81	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	35a44ans	Gazvr	0097	18
2	1989a1990	2personnes	5pieces	Mensualise	>=12kVA	Qpay=8	Doubletarif	50Ma100Mhab	1949->73	Locataire	Individuel	entre1989et1990	avant1982	Pascheminee	35a44ans	Autre	0098	18
2	1971a1980	4personnes	3pieces	Indestdeter	9kVA	Qpay=8	Doubletarif	50Ma100Mhab	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	45a54ans	Gazvr	0099	18
1	1986a1988	4personnes	2pieces	Mensualise	>=12kVA	Qpay=5	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Pascheminee	18a34ans	Gazvr	0100	18
2	1981a1985	3personnes	4pieces	Mensualise	9kVA	Qpay=9	Doubletarif	50Ma100Mhab	1949->73	Proprietaire	Collectif	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Gazvr	0101	18
3	1981a1985	4personnes	5pieces	Mensualise	9kVA	Qpay=6	Doubletarif	20Ma50Mhab	1949->73	Locataire	Collectif	entre1982et1988	entre1982et1988	Cheminee	35a44ans	Electric	0102	18
3	1989a1990	4personnes	>=6piec	Indestmensu	>=12kVA	Qpay=8	Doubletarif	10Ma20Mhab	1974->81	Locataire	Individuel	entre1989et1990	avant1982	Cheminee	35a44ans	Electric	0103	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=8	Doubletarif	50Ma100Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Bois	0104	18
1	1989a1990	4personnes	4pieces	Indestmensu	6kVA	Qpay=7	Doubletarif	50Ma100Mhab	1974->81	Locataire	Collectif	entre1982et1988	avant1982	Pascheminee	35a44ans	Fioul	0105	18
1	1981a1985	3personnes	3pieces	Indestdeter	9kVA	Qpay=7	Doubletarif	2Ma5Mhab	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	35a44ans	Gazvr	0106	18
2	1989a1990	2personnes	3pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	50Ma100Mhab	>=1989	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	55a64ans	Gazvr	0107	18
2	1971a1980	4personnes	5pieces	Indestdeter	6kVA	Qpay=3	Doubletarif	agglo.rurale	1974->81	Locataire	Collectif	avant1982	avant1982	Pascheminee	45a54ans	Electric	0108	18
2	1989a1990	1personne	3pieces	Relevenormal	6kVA	Qpay=6	Doubletarif	5Ma10Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	55a64ans	Gazvr	0109	18
2	1981a1985	4personnes	5pieces	Indestdeter	9kVA	Qpay=5	Doubletarif	agglo.rurale	1982->88	Locataire	Individuel	entre1982et1988	entre1982et1988	Pascheminee	55a64ans	Electric	0110	18
3	1971a1980	2personnes	5pieces	Indestdeter	>=12kVA	Qpay=8	Doubletarif	10Ma20Mhab	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	45a54ans	Electric	0111	18
3	1989a1990	2personnes	2pieces	Relevenormal	>=12kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Individuel	entre1989et1990	entre1989et1990	Cheminee	65anset+	Bois	0112	18
1	1986a1988	3personnes	3pieces	Indestdeter	6kVA	Qpay=8	Doubletarif	10Ma20Mhab	<=1948	Locataire	Collectif	entre1982et1988	entre1982et1988	Cheminee	18a34ans	Fioul	0113	18
2	1971a1980	4personnes	>=6piec	Indestmensu	>=12kVA	Qpay=9	Doubletarif	2Ma5Mhab	1974->81	Proprietaire	Individuel	avant1982	avant1982	Cheminee	35a44ans	Electric	0114	18
2	1986a1988	4personnes	3pieces	Indestdeter	9kVA	Qpay=5	Doubletarif	10Ma20Mhab	1949->73	Locataire	Collectif	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Electric	0115	18
2	1989a1990	1personne	1piece	Indestmensu	6kVA	Qpay=9	Doubletarif	50Ma100Mhab	1949->73	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Fioul	0116	18
2	1989a1990	4personnes	>=6piec	Indestdeter	>=12kVA	Qpay=7	Doubletarif	50Ma100Mhab	1974->81	Locataire	Individuel	entre1989et1990	avant1982	Cheminee	18a34ans	Gazvr	0117	18
2	1989a1990	3personnes	5pieces	Indestmensu	>=12kVA	Qpay=8	Doubletarif	10Ma20Mhab	>=1989	Proprietaire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	45a54ans	Gazvr	0118	18
3	1989a1990	1personne	1piece	Relevenormal	6kVA	Qpay=7	Doubletarif	50Ma100Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	18a34ans	Electric	0119	18
3	1989a1990	2personnes	3pieces	Indestmensu	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	1974->81	Proprietaire	Collectif	entre1989et1990	avant1982	Pascheminee	45a54ans	Electric	0120	18
2	1986a1988	2personnes	4pieces	Indestmensu	9kVA	Qpay=9	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	55a64ans	Electric	0121	18
2	1989a1990	1personne	2pieces	Relevenormal	6kVA	Qpay=7	Doubletarif	50Ma100Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	18a34ans	Gazvr	0122	18
1	1989a1990	2personnes	1piece	Relevenormal	9kVA	Qpay=8	Doubletarif	10Ma20Mhab	<=1948	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	18a34ans	Gazvr	0123	18
1	1989a1990	3personnes	3pieces	Indestmensu	>=12kVA	Qpay=9	Doubletarif	10Ma20Mhab	<=1948	Proprietaire	Collectif	avant1982	avant1982	Pascheminee	35a44ans	Electric	0124	18
2	1981a1985	5perset+	>=6piec	Indestdeter	>=12kVA	Qpay=7	Doubletarif	2Ma5Mhab	1982->88	Proprietaire	Individuel	entre1982et1988	entre1982et1988	Cheminee	55a64ans	Electric	0125	18
2	1989a1990	1personne	2pieces	Indestmensu	6kVA	Qpay=6	Doubletarif	50Ma100Mhab	>=1989	Locataire	Collectif	entre1989et1990	entre1989et1990	Pascheminee	65anset+	Autre	0126	18
1	1989a1990	4personnes	4pieces	Indestmensu	9kVA	Qpay=0,1,2	Doubletarif	100Ma200Mhab	1982->88	Proprietaire	Collectif	entre1989et1990	entre1982et1988	Pascheminee	35a44ans	Gazvr	0127	18
